Date,Region,Customers,Product Type,Bag Size (kg),Quantity Sold,Unit Price,Total Revenue
1/9/2026,Portharcourt,Dangote Ltd,Slag Cement,25,116,3465,401940
1/10/2026,Portharcourt,BuildRight Co,Slag Cement,50,83,3134,260122
1/11/2026,Lagos,Dangote Ltd,White Cement,25,933,3955,3690015
1/12/2026,Portharcourt,BuildRight Co,Slag Cement,25,156,3741,583596
1/13/2026,Lagos,Dangote Ltd,PPC,25,210,2565,538650
1/14/2026,Portharcourt,StoneWorks Ltd,White Cement,25,450,2956,1330200
1/15/2026,Lagos,BuildRight Co,Slag Cement,25,461,3868,1783148
1/16/2026,Portharcourt,BuildRight Co,White Cement,25,70,2276,159320
1/17/2026,Lagos,BuildRight Co,White Cement,25,983,3570,3509310
1/18/2026,Abuja,MegaCem,White Cement,25,995,3108,3092460
1/19/2026,Portharcourt,Dangote Ltd,White Cement,25,827,2284,1888868
1/20/2026,Kaduna,BuildRight Co,Slag Cement,25,562,3994,2244628
1/21/2026,Kaduna,BuildRight Co,White Cement,25,582,2737,1592934
1/22/2026,Portharcourt,Eterna Plc,White Cement,25,910,3872,3523520
1/23/2026,Portharcourt,Eterna Plc,White Cement,50,595,3820,2272900
1/24/2026,Portharcourt,Eterna Plc,Portland Cement,25,320,2960,947200
1/25/2026,Kaduna,MegaCem,PPC,50,76,3365,255740
1/26/2026,Abuja,StoneWorks Ltd,White Cement,25,808,2255,1822040
1/27/2026,Kaduna,StoneWorks Ltd,Slag Cement,50,968,3857,3733576
1/28/2026,Kano,MegaCem,PPC,50,889,3321,2952369
1/29/2026,Kaduna,MegaCem,PPC,25,610,2181,1330410
1/30/2026,Kaduna,Eterna Plc,Portland Cement,25,611,3338,2039518
1/31/2026,Lagos,Dangote Ltd,PPC,50,349,2656,926944
2/1/2026,Lagos,Dangote Ltd,Slag Cement,50,671,2881,1933151
2/2/2026,Kaduna,Dangote Ltd,White Cement,50,462,2373,1096326
2/3/2026,Lagos,Dangote Ltd,Slag Cement,50,628,2455,1541740
2/4/2026,Lagos,BuildRight Co,Slag Cement,50,919,3130,2876470
2/5/2026,Kano,BuildRight Co,Slag Cement,50,797,2660,2120020
2/6/2026,Portharcourt,StoneWorks Ltd,PPC,25,166,3499,580834
2/7/2026,Kano,BuildRight Co,White Cement,25,460,3684,1694640
2/8/2026,Lagos,Dangote Ltd,PPC,25,343,3523,1208389
2/9/2026,Lagos,MegaCem,White Cement,50,431,3943,1699433
2/10/2026,Portharcourt,Eterna Plc,PPC,50,567,3407,1931769
2/11/2026,Lagos,Eterna Plc,Portland Cement,50,165,3870,638550
2/12/2026,Abuja,MegaCem,PPC,50,266,3993,1062138
2/13/2026,Lagos,MegaCem,PPC,25,812,3220,2614640
2/14/2026,Kaduna,StoneWorks Ltd,Portland Cement,50,822,2382,1958004
2/15/2026,Abuja,StoneWorks Ltd,White Cement,50,192,3548,681216
2/16/2026,Portharcourt,Dangote Ltd,PPC,25,207,3370,697590
2/17/2026,Abuja,Eterna Plc,White Cement,50,68,2295,156060
2/18/2026,Kano,StoneWorks Ltd,White Cement,50,667,3443,2296481
2/19/2026,Lagos,Eterna Plc,Portland Cement,50,480,2450,1176000
2/20/2026,Kaduna,StoneWorks Ltd,Portland Cement,25,86,2499,214914
2/21/2026,Kano,Dangote Ltd,PPC,50,955,3118,2977690
2/22/2026,Lagos,StoneWorks Ltd,Slag Cement,50,604,3358,2028232
2/23/2026,Portharcourt,MegaCem,White Cement,50,267,3222,860274
2/24/2026,Kano,Dangote Ltd,PPC,25,239,2654,634306
2/25/2026,Lagos,Dangote Ltd,Portland Cement,50,510,2888,1472880
2/26/2026,Abuja,StoneWorks Ltd,Slag Cement,50,231,3717,858627
2/27/2026,Kano,StoneWorks Ltd,Portland Cement,25,82,3323,272486
2/28/2026,Kano,MegaCem,Slag Cement,25,747,2072,1547784
3/1/2026,Kaduna,Dangote Ltd,Slag Cement,25,947,2790,2642130
3/2/2026,Portharcourt,MegaCem,PPC,25,156,3333,519948
3/3/2026,Kaduna,BuildRight Co,White Cement,50,257,2834,728338
3/4/2026,Portharcourt,Eterna Plc,PPC,25,467,2342,1093714
3/5/2026,Kaduna,Dangote Ltd,PPC,50,400,3212,1284800
3/6/2026,Abuja,Eterna Plc,Slag Cement,50,459,3204,1470636
3/7/2026,Lagos,Dangote Ltd,White Cement,25,431,3191,1375321
3/8/2026,Abuja,BuildRight Co,White Cement,50,282,3838,1082316
3/9/2026,Abuja,MegaCem,Portland Cement,50,963,2721,2620323
3/10/2026,Lagos,Eterna Plc,Portland Cement,25,914,3158,2886412
3/11/2026,Lagos,Dangote Ltd,White Cement,25,877,2853,2502081
3/12/2026,Kaduna,Eterna Plc,Portland Cement,50,203,3613,733439
3/13/2026,Kano,MegaCem,Portland Cement,50,51,3788,193188
3/14/2026,Portharcourt,BuildRight Co,Portland Cement,50,307,3955,1214185
3/15/2026,Kano,MegaCem,Portland Cement,50,851,2415,2055165
3/16/2026,Portharcourt,Dangote Ltd,PPC,25,919,3765,3460035
3/17/2026,Portharcourt,Dangote Ltd,Slag Cement,50,871,3965,3453515
3/18/2026,Abuja,Dangote Ltd,Slag Cement,25,224,3289,736736
3/19/2026,Portharcourt,Eterna Plc,PPC,25,852,2389,2035428
3/20/2026,Abuja,MegaCem,PPC,25,209,3671,767239
3/21/2026,Kano,MegaCem,Slag Cement,50,781,2910,2272710
3/22/2026,Kano,BuildRight Co,Slag Cement,25,459,3505,1608795
3/23/2026,Kano,Eterna Plc,Portland Cement,50,379,2631,997149
3/24/2026,Lagos,Dangote Ltd,PPC,50,56,2109,118104
3/25/2026,Kano,Eterna Plc,Portland Cement,25,675,3068,2070900
3/26/2026,Portharcourt,StoneWorks Ltd,Portland Cement,50,782,2289,1789998
3/27/2026,Kano,StoneWorks Ltd,PPC,25,920,3239,2979880
3/28/2026,Portharcourt,StoneWorks Ltd,Portland Cement,25,192,2192,420864
3/29/2026,Lagos,MegaCem,Portland Cement,25,671,2625,1761375
3/30/2026,Portharcourt,Eterna Plc,Slag Cement,50,165,2541,419265
3/31/2026,Kaduna,Dangote Ltd,White Cement,25,501,2960,1482960
4/1/2026,Lagos,MegaCem,Portland Cement,25,516,3021,1558836
4/2/2026,Kaduna,BuildRight Co,PPC,25,235,3169,744715
4/3/2026,Portharcourt,Eterna Plc,White Cement,50,519,2626,1362894
4/4/2026,Kano,Eterna Plc,Slag Cement,50,668,3331,2225108
4/5/2026,Lagos,MegaCem,Portland Cement,50,58,2135,123830
4/6/2026,Kano,BuildRight Co,Slag Cement,25,821,3347,2747887
4/7/2026,Portharcourt,BuildRight Co,Slag Cement,25,179,3688,660152
4/8/2026,Kaduna,Dangote Ltd,Portland Cement,50,651,3827,2491377
4/9/2026,Kano,BuildRight Co,White Cement,50,994,2579,2563526
4/10/2026,Abuja,BuildRight Co,Portland Cement,50,728,3852,2804256
4/11/2026,Kano,Dangote Ltd,Slag Cement,50,161,3923,631603
4/12/2026,Portharcourt,Eterna Plc,Slag Cement,50,66,2713,179058
4/13/2026,Lagos,BuildRight Co,Slag Cement,50,733,2964,2172612
4/14/2026,Portharcourt,MegaCem,White Cement,50,642,3721,2388882
4/15/2026,Kano,Dangote Ltd,Portland Cement,25,277,3724,1031548
4/16/2026,Portharcourt,Dangote Ltd,White Cement,25,939,2391,2245149
4/17/2026,Lagos,MegaCem,White Cement,50,650,3328,2163200
4/18/2026,Portharcourt,StoneWorks Ltd,White Cement,50,414,3945,1633230
4/19/2026,Kaduna,BuildRight Co,Slag Cement,50,560,3894,2180640
4/20/2026,Kano,MegaCem,Slag Cement,25,228,3699,843372
4/21/2026,Lagos,Eterna Plc,Portland Cement,50,838,3649,3057862
4/22/2026,Kano,BuildRight Co,Portland Cement,25,276,3920,1081920
4/23/2026,Portharcourt,Eterna Plc,Portland Cement,50,973,3408,3315984
4/24/2026,Kano,StoneWorks Ltd,Portland Cement,50,393,3971,1560603
4/25/2026,Abuja,Dangote Ltd,Portland Cement,50,399,3331,1329069
4/26/2026,Kano,BuildRight Co,Slag Cement,50,586,2125,1245250
4/27/2026,Portharcourt,BuildRight Co,White Cement,50,780,2334,1820520
4/28/2026,Abuja,MegaCem,Portland Cement,50,665,2125,1413125
4/29/2026,Portharcourt,Dangote Ltd,Portland Cement,50,842,2066,1739572
4/30/2026,Abuja,Eterna Plc,Portland Cement,25,331,2764,914884
5/1/2026,Lagos,Dangote Ltd,PPC,25,391,3845,1503395
5/2/2026,Portharcourt,Eterna Plc,PPC,25,487,3129,1523823
5/3/2026,Lagos,Eterna Plc,Slag Cement,25,654,3613,2362902
5/4/2026,Abuja,Eterna Plc,White Cement,50,863,3681,3176703
5/5/2026,Kaduna,Eterna Plc,PPC,25,340,3859,1312060
5/6/2026,Abuja,MegaCem,Portland Cement,25,689,3672,2530008
5/7/2026,Portharcourt,MegaCem,Portland Cement,50,271,3137,850127
5/8/2026,Kaduna,Dangote Ltd,PPC,25,84,3606,302904
5/9/2026,Kano,MegaCem,Portland Cement,25,733,3749,2748017
5/10/2026,Abuja,BuildRight Co,White Cement,50,123,3724,458052
5/11/2026,Kano,BuildRight Co,PPC,25,75,2160,162000
5/12/2026,Kano,Eterna Plc,Slag Cement,50,403,2187,881361
5/13/2026,Lagos,Dangote Ltd,White Cement,50,160,2784,445440
5/14/2026,Kano,StoneWorks Ltd,Slag Cement,50,262,2805,734910
5/15/2026,Kaduna,Eterna Plc,White Cement,25,235,2268,532980
5/16/2026,Kano,Dangote Ltd,White Cement,25,599,2657,1591543
5/17/2026,Kaduna,BuildRight Co,PPC,25,131,3302,432562
5/18/2026,Portharcourt,Eterna Plc,Slag Cement,25,826,3771,3114846
5/19/2026,Abuja,Eterna Plc,Portland Cement,50,496,3330,1651680
5/20/2026,Kano,MegaCem,White Cement,25,770,2186,1683220
5/21/2026,Kaduna,Dangote Ltd,PPC,25,316,3069,969804
5/22/2026,Kaduna,StoneWorks Ltd,White Cement,25,953,3200,3049600
5/23/2026,Kano,StoneWorks Ltd,Portland Cement,25,327,2312,756024
5/24/2026,Kano,StoneWorks Ltd,Slag Cement,25,423,2317,980091
5/25/2026,Abuja,MegaCem,Portland Cement,50,800,3632,2905600
5/26/2026,Kano,Dangote Ltd,Portland Cement,25,795,3382,2688690
5/27/2026,Lagos,StoneWorks Ltd,Portland Cement,25,246,2640,649440
5/28/2026,Kaduna,Eterna Plc,PPC,25,863,2624,2264512
5/29/2026,Kano,Eterna Plc,Portland Cement,50,624,3188,1989312
5/30/2026,Lagos,BuildRight Co,White Cement,25,559,2012,1124708
5/31/2026,Kano,BuildRight Co,White Cement,50,819,2356,1929564
6/1/2026,Lagos,BuildRight Co,White Cement,50,467,3224,1505608
6/2/2026,Portharcourt,Dangote Ltd,PPC,25,599,2985,1788015
6/3/2026,Abuja,Eterna Plc,PPC,50,578,3124,1805672
6/4/2026,Lagos,BuildRight Co,Slag Cement,50,787,3840,3022080
6/5/2026,Lagos,StoneWorks Ltd,PPC,25,703,3191,2243273
6/6/2026,Abuja,Eterna Plc,White Cement,25,760,2310,1755600
6/7/2026,Kaduna,BuildRight Co,Portland Cement,25,807,3971,3204597
6/8/2026,Abuja,StoneWorks Ltd,White Cement,25,800,2969,2375200
6/9/2026,Kaduna,Eterna Plc,White Cement,50,374,3479,1301146
6/10/2026,Kano,StoneWorks Ltd,White Cement,50,96,2964,284544
6/11/2026,Lagos,Dangote Ltd,White Cement,25,741,2028,1502748
6/12/2026,Kano,Eterna Plc,PPC,25,840,2448,2056320
6/13/2026,Kano,BuildRight Co,White Cement,50,456,2211,1008216
6/14/2026,Portharcourt,StoneWorks Ltd,White Cement,50,148,3338,494024
6/15/2026,Lagos,BuildRight Co,White Cement,50,999,3351,3347649
6/16/2026,Portharcourt,MegaCem,White Cement,50,491,3328,1634048
6/17/2026,Kaduna,MegaCem,Portland Cement,50,345,2455,846975
6/18/2026,Kaduna,BuildRight Co,White Cement,25,367,3474,1274958
6/19/2026,Portharcourt,Eterna Plc,Portland Cement,25,166,3662,607892
6/20/2026,Lagos,StoneWorks Ltd,Slag Cement,25,653,3158,2062174
6/21/2026,Kaduna,MegaCem,Slag Cement,50,611,2548,1556828
6/22/2026,Lagos,Eterna Plc,Portland Cement,25,660,3066,2023560
6/23/2026,Abuja,Eterna Plc,Slag Cement,25,284,2617,743228
6/24/2026,Kano,BuildRight Co,Slag Cement,25,199,2472,491928
6/25/2026,Lagos,StoneWorks Ltd,PPC,25,152,3319,504488
6/26/2026,Portharcourt,BuildRight Co,White Cement,50,798,2274,1814652
6/27/2026,Kano,Dangote Ltd,White Cement,50,486,3663,1780218
6/28/2026,Lagos,MegaCem,PPC,50,576,2286,1316736
6/29/2026,Portharcourt,StoneWorks Ltd,Portland Cement,50,395,3608,1425160
6/30/2026,Kaduna,Dangote Ltd,Slag Cement,25,161,2657,427777
7/1/2026,Kano,StoneWorks Ltd,Portland Cement,25,540,2477,1337580
7/2/2026,Kano,Eterna Plc,PPC,25,858,3011,2583438
7/3/2026,Portharcourt,StoneWorks Ltd,Portland Cement,25,788,3703,2917964
7/4/2026,Abuja,StoneWorks Ltd,Slag Cement,25,867,3950,3424650
7/5/2026,Kano,StoneWorks Ltd,PPC,50,349,3006,1049094
7/6/2026,Abuja,Dangote Ltd,Slag Cement,25,468,2957,1383876
7/7/2026,Kaduna,BuildRight Co,White Cement,25,262,3379,885298
7/8/2026,Kano,MegaCem,Portland Cement,25,898,2753,2472194
7/9/2026,Portharcourt,Dangote Ltd,Portland Cement,50,821,3044,2499124
7/10/2026,Kaduna,BuildRight Co,PPC,25,219,2855,625245
7/11/2026,Kano,MegaCem,PPC,25,627,2332,1462164
7/12/2026,Abuja,BuildRight Co,White Cement,50,952,3263,3106376
7/13/2026,Lagos,Dangote Ltd,PPC,50,923,3350,3092050
7/14/2026,Abuja,Eterna Plc,PPC,25,393,2287,898791
7/15/2026,Lagos,MegaCem,Portland Cement,50,847,3841,3253327
7/16/2026,Portharcourt,StoneWorks Ltd,PPC,50,736,2122,1561792
7/17/2026,Kaduna,Eterna Plc,White Cement,25,208,2331,484848
7/18/2026,Lagos,StoneWorks Ltd,Slag Cement,50,278,2250,625500
7/19/2026,Kaduna,Dangote Ltd,PPC,50,703,3614,2540642
7/20/2026,Kaduna,Eterna Plc,White Cement,25,556,2719,1511764
7/21/2026,Lagos,MegaCem,PPC,25,76,3151,239476
7/22/2026,Abuja,Dangote Ltd,White Cement,50,545,2688,1464960
7/23/2026,Kaduna,MegaCem,White Cement,25,229,2515,575935
7/24/2026,Abuja,MegaCem,Slag Cement,50,471,2748,1294308
7/25/2026,Lagos,Dangote Ltd,Slag Cement,50,333,3553,1183149
7/26/2026,Lagos,Dangote Ltd,Slag Cement,50,126,3522,443772
7/27/2026,Portharcourt,BuildRight Co,Portland Cement,25,808,2493,2014344
7/28/2026,Portharcourt,Dangote Ltd,Portland Cement,25,584,2350,1372400
7/29/2026,Portharcourt,MegaCem,White Cement,50,127,2276,289052
7/30/2026,Kano,Eterna Plc,PPC,50,442,2673,1181466
7/31/2026,Portharcourt,MegaCem,Slag Cement,25,673,3413,2296949
8/1/2026,Lagos,MegaCem,White Cement,50,416,2671,1111136
8/2/2026,Kano,StoneWorks Ltd,Portland Cement,50,308,3314,1020712
8/3/2026,Kano,BuildRight Co,Slag Cement,25,146,3480,508080
8/4/2026,Lagos,BuildRight Co,White Cement,50,662,2899,1919138
8/5/2026,Kano,Eterna Plc,PPC,25,416,3580,1489280
8/6/2026,Kaduna,MegaCem,White Cement,50,901,2320,2090320
8/7/2026,Abuja,Eterna Plc,Slag Cement,25,721,3385,2440585
8/8/2026,Abuja,StoneWorks Ltd,White Cement,50,210,3505,736050
8/9/2026,Lagos,BuildRight Co,White Cement,50,134,3181,426254
8/10/2026,Abuja,MegaCem,White Cement,25,402,2033,817266
8/11/2026,Kano,BuildRight Co,PPC,25,61,3346,204106
8/12/2026,Kaduna,Dangote Ltd,PPC,25,669,2653,1774857
8/13/2026,Abuja,MegaCem,PPC,50,979,2089,2045131
8/14/2026,Portharcourt,BuildRight Co,Portland Cement,50,340,2032,690880
8/15/2026,Kaduna,Eterna Plc,PPC,25,567,2505,1420335
8/16/2026,Portharcourt,Eterna Plc,Slag Cement,50,877,3154,2766058
8/17/2026,Kano,BuildRight Co,PPC,50,657,2703,1775871
8/18/2026,Lagos,BuildRight Co,Portland Cement,50,608,2143,1302944
8/19/2026,Abuja,BuildRight Co,Portland Cement,50,426,2752,1172352
8/20/2026,Kaduna,MegaCem,White Cement,25,947,3345,3167715
8/21/2026,Kaduna,BuildRight Co,Slag Cement,50,403,3480,1402440
8/22/2026,Kano,MegaCem,Portland Cement,50,176,2504,440704
8/23/2026,Kano,StoneWorks Ltd,Slag Cement,25,690,2168,1495920
8/24/2026,Kaduna,BuildRight Co,Slag Cement,25,600,3862,2317200
8/25/2026,Kano,StoneWorks Ltd,Slag Cement,25,264,2557,675048
8/26/2026,Portharcourt,StoneWorks Ltd,Slag Cement,50,235,3450,810750
8/27/2026,Kano,StoneWorks Ltd,White Cement,25,92,2360,217120
8/28/2026,Kaduna,BuildRight Co,Slag Cement,50,375,3911,1466625
8/29/2026,Kaduna,MegaCem,Slag Cement,50,154,2784,428736
8/30/2026,Lagos,MegaCem,Portland Cement,50,539,2245,1210055
8/31/2026,Portharcourt,Dangote Ltd,White Cement,50,95,3439,326705
9/1/2026,Kano,StoneWorks Ltd,Portland Cement,50,865,2000,1730000
9/2/2026,Kaduna,BuildRight Co,Portland Cement,25,988,3039,3002532
9/3/2026,Kaduna,StoneWorks Ltd,Slag Cement,25,799,3709,2963491
9/4/2026,Abuja,BuildRight Co,Slag Cement,50,894,2909,2600646
9/5/2026,Kano,Eterna Plc,Portland Cement,25,280,2164,605920
9/6/2026,Lagos,BuildRight Co,PPC,25,617,3100,1912700
9/7/2026,Abuja,Eterna Plc,White Cement,25,564,3512,1980768
9/8/2026,Abuja,Eterna Plc,Slag Cement,50,482,3191,1538062
9/9/2026,Abuja,BuildRight Co,Slag Cement,50,835,2840,2371400
9/10/2026,Lagos,StoneWorks Ltd,PPC,25,883,2546,2248118
9/11/2026,Kano,Eterna Plc,Portland Cement,50,609,2509,1527981
9/12/2026,Lagos,Eterna Plc,PPC,25,110,3605,396550
9/13/2026,Lagos,MegaCem,White Cement,50,918,2526,2318868
9/14/2026,Abuja,Dangote Ltd,PPC,25,534,3284,1753656
9/15/2026,Lagos,Dangote Ltd,White Cement,50,249,3981,991269
9/16/2026,Lagos,Dangote Ltd,Slag Cement,25,183,2645,484035
9/17/2026,Kaduna,Dangote Ltd,White Cement,50,208,3961,823888
9/18/2026,Kaduna,StoneWorks Ltd,White Cement,25,616,2325,1432200
9/19/2026,Abuja,StoneWorks Ltd,PPC,50,304,3923,1192592
9/20/2026,Lagos,MegaCem,White Cement,25,653,2736,1786608
9/21/2026,Abuja,MegaCem,Portland Cement,50,348,2501,870348
9/22/2026,Lagos,Eterna Plc,White Cement,25,549,2260,1240740
9/23/2026,Kano,MegaCem,Portland Cement,25,346,3433,1187818
9/24/2026,Kaduna,StoneWorks Ltd,Portland Cement,25,265,3683,975995
9/25/2026,Portharcourt,MegaCem,Slag Cement,25,123,3797,467031
9/26/2026,Lagos,MegaCem,White Cement,50,312,3467,1081704
9/27/2026,Kaduna,Eterna Plc,Portland Cement,50,660,2348,1549680
9/28/2026,Abuja,BuildRight Co,White Cement,50,472,3935,1857320
9/29/2026,Kaduna,BuildRight Co,Portland Cement,50,693,3424,2372832
9/30/2026,Kaduna,Eterna Plc,PPC,25,772,2484,1917648
10/1/2026,Portharcourt,MegaCem,Portland Cement,50,836,2351,1965436
10/2/2026,Abuja,Dangote Ltd,Portland Cement,50,761,3086,2348446
10/3/2026,Abuja,StoneWorks Ltd,PPC,25,699,3950,2761050
10/4/2026,Portharcourt,BuildRight Co,Slag Cement,25,735,2357,1732395
10/5/2026,Portharcourt,Eterna Plc,Portland Cement,25,867,3552,3079584
10/6/2026,Kaduna,MegaCem,Portland Cement,25,865,2103,1819095
10/7/2026,Kaduna,BuildRight Co,Portland Cement,25,451,3857,1739507
10/8/2026,Kano,Eterna Plc,Slag Cement,50,968,2788,2698784
10/9/2026,Kaduna,StoneWorks Ltd,Slag Cement,50,482,2152,1037264
10/10/2026,Kano,MegaCem,Portland Cement,50,546,2393,1306578
10/11/2026,Portharcourt,MegaCem,PPC,25,212,3478,737336
10/12/2026,Portharcourt,Dangote Ltd,White Cement,25,311,2468,767548
10/13/2026,Kaduna,StoneWorks Ltd,White Cement,50,552,3211,1772472
10/14/2026,Kaduna,StoneWorks Ltd,Portland Cement,25,195,3601,702195
10/15/2026,Kaduna,Eterna Plc,White Cement,50,823,2333,1920059
10/16/2026,Kano,StoneWorks Ltd,PPC,50,101,2517,254217
10/17/2026,Abuja,MegaCem,Portland Cement,50,931,3873,3605763
10/18/2026,Portharcourt,BuildRight Co,Slag Cement,25,140,2468,345520
10/19/2026,Kano,MegaCem,PPC,50,111,2517,279387
10/20/2026,Portharcourt,Eterna Plc,White Cement,50,502,3534,1774068
10/21/2026,Lagos,StoneWorks Ltd,Portland Cement,50,896,3527,3160192
10/22/2026,Kaduna,Eterna Plc,White Cement,25,319,2208,704352
10/23/2026,Kaduna,BuildRight Co,White Cement,25,729,3793,2765097
10/24/2026,Kano,MegaCem,Portland Cement,25,237,2264,536568
10/25/2026,Portharcourt,BuildRight Co,PPC,25,399,2006,800394
10/26/2026,Kano,BuildRight Co,Portland Cement,50,987,3906,3855222
10/27/2026,Abuja,MegaCem,Slag Cement,25,808,2626,2121808
10/28/2026,Portharcourt,BuildRight Co,PPC,50,315,3725,1173375
10/29/2026,Portharcourt,MegaCem,Portland Cement,50,948,3616,3427968
10/30/2026,Kaduna,BuildRight Co,White Cement,25,225,3518,791550
10/31/2026,Kano,Dangote Ltd,PPC,25,869,3323,2887687
11/1/2026,Kano,BuildRight Co,PPC,25,831,3130,2601030
11/2/2026,Kaduna,StoneWorks Ltd,White Cement,25,91,2523,229593
11/3/2026,Kaduna,BuildRight Co,White Cement,50,461,2536,1169096
11/4/2026,Portharcourt,MegaCem,Portland Cement,50,854,2501,2135854
11/5/2026,Lagos,BuildRight Co,White Cement,50,127,2061,261747
11/6/2026,Portharcourt,BuildRight Co,PPC,25,282,2860,806520
11/7/2026,Portharcourt,Eterna Plc,Portland Cement,25,686,3311,2271346
11/8/2026,Kaduna,Eterna Plc,White Cement,25,644,2552,1643488
11/9/2026,Kaduna,Dangote Ltd,Portland Cement,25,712,3694,2630128
11/10/2026,Lagos,Dangote Ltd,White Cement,25,511,2205,1126755
11/11/2026,Kano,Dangote Ltd,Slag Cement,50,408,3125,1275000
11/12/2026,Kano,BuildRight Co,PPC,50,905,3359,3039895
11/13/2026,Portharcourt,MegaCem,Slag Cement,50,899,3417,3071883
11/14/2026,Abuja,StoneWorks Ltd,Portland Cement,25,801,3352,2684952
11/15/2026,Portharcourt,StoneWorks Ltd,PPC,50,69,2244,154836
11/16/2026,Abuja,MegaCem,Portland Cement,50,545,2375,1294375
11/17/2026,Lagos,StoneWorks Ltd,Portland Cement,50,646,2180,1408280
11/18/2026,Abuja,StoneWorks Ltd,PPC,50,839,2654,2226706
11/19/2026,Abuja,MegaCem,White Cement,50,614,2367,1453338
11/20/2026,Kaduna,Dangote Ltd,White Cement,25,933,3887,3626571
11/21/2026,Lagos,Eterna Plc,PPC,25,282,2939,828798
11/22/2026,Kaduna,BuildRight Co,Portland Cement,50,314,2491,782174
11/23/2026,Lagos,Dangote Ltd,Portland Cement,50,881,3773,3324013
11/24/2026,Abuja,BuildRight Co,PPC,50,983,2589,2544987
11/25/2026,Kaduna,BuildRight Co,Portland Cement,50,907,3241,2939587
11/26/2026,Lagos,BuildRight Co,Portland Cement,50,957,3601,3446157
11/27/2026,Portharcourt,Eterna Plc,Slag Cement,50,762,3771,2873502
11/28/2026,Kano,Eterna Plc,Portland Cement,50,95,3577,339815
11/29/2026,Kano,MegaCem,White Cement,25,494,3507,1732458
11/30/2026,Lagos,BuildRight Co,White Cement,25,353,3760,1327280
12/1/2026,Portharcourt,BuildRight Co,Portland Cement,25,301,2304,693504
12/2/2026,Kaduna,MegaCem,Slag Cement,25,686,3770,2586220
12/3/2026,Lagos,MegaCem,Slag Cement,50,479,2372,1136188
12/4/2026,Abuja,Dangote Ltd,Portland Cement,25,187,3505,655435
12/5/2026,Portharcourt,StoneWorks Ltd,PPC,50,691,2285,1578935
12/6/2026,Portharcourt,Dangote Ltd,White Cement,50,311,2612,812332
12/7/2026,Portharcourt,StoneWorks Ltd,White Cement,25,795,3282,2609190
12/8/2026,Lagos,BuildRight Co,Portland Cement,25,825,3483,2873475
12/9/2026,Kano,StoneWorks Ltd,Portland Cement,25,953,3853,3671909
12/10/2026,Kano,Dangote Ltd,Portland Cement,50,471,3306,1557126
12/11/2026,Lagos,Eterna Plc,White Cement,50,973,3212,3125276
12/12/2026,Kaduna,StoneWorks Ltd,White Cement,50,755,2472,1866360
12/13/2026,Abuja,Eterna Plc,PPC,25,865,3913,3384745
12/14/2026,Kaduna,Dangote Ltd,Portland Cement,25,996,3199,3186204
12/15/2026,Kano,Dangote Ltd,PPC,25,651,2090,1360590
12/16/2026,Portharcourt,StoneWorks Ltd,PPC,25,524,2284,1196816
12/17/2026,Kaduna,BuildRight Co,Portland Cement,50,959,3817,3660503
12/18/2026,Kaduna,Dangote Ltd,Slag Cement,50,127,3753,476631
12/19/2026,Abuja,Eterna Plc,Portland Cement,50,913,2739,2500707
12/20/2026,Kaduna,Eterna Plc,White Cement,50,680,2272,1544960
12/21/2026,Kaduna,Dangote Ltd,Portland Cement,25,521,2525,1315525
12/22/2026,Portharcourt,Eterna Plc,White Cement,25,297,2818,836946
12/23/2026,Lagos,MegaCem,PPC,25,96,2193,210528
12/24/2026,Abuja,StoneWorks Ltd,Slag Cement,50,242,2457,594594
12/25/2026,Lagos,Eterna Plc,PPC,50,680,3231,2197080
12/26/2026,Lagos,Eterna Plc,PPC,25,969,3658,3544602
12/27/2026,Portharcourt,Dangote Ltd,Portland Cement,25,906,2898,2625588
12/28/2026,Portharcourt,Dangote Ltd,White Cement,25,93,3877,360561
12/29/2026,Kaduna,MegaCem,White Cement,25,247,2876,710372
12/30/2026,Portharcourt,BuildRight Co,White Cement,50,430,2046,879780
12/31/2026,Portharcourt,Eterna Plc,White Cement,50,507,3379,1713153
1/1/2027,Kaduna,MegaCem,Slag Cement,25,646,3841,2481286
1/2/2027,Kano,MegaCem,PPC,50,597,3907,2332479
1/3/2027,Lagos,Dangote Ltd,Portland Cement,50,339,3683,1248537
1/4/2027,Lagos,Dangote Ltd,PPC,50,996,3531,3516876
1/5/2027,Portharcourt,BuildRight Co,Slag Cement,25,177,2290,405330
1/6/2027,Kano,Eterna Plc,PPC,50,767,2791,2140697
1/7/2027,Portharcourt,StoneWorks Ltd,PPC,25,90,3075,276750
1/8/2027,Abuja,BuildRight Co,White Cement,25,263,3760,988880
1/9/2027,Lagos,BuildRight Co,Slag Cement,50,773,2627,2030671
1/10/2027,Kaduna,StoneWorks Ltd,Slag Cement,50,606,2349,1423494
1/11/2027,Kano,BuildRight Co,Portland Cement,50,228,2846,648888
1/12/2027,Kano,Dangote Ltd,White Cement,25,685,2123,1454255
1/13/2027,Kaduna,StoneWorks Ltd,White Cement,50,364,2317,843388
1/14/2027,Kano,StoneWorks Ltd,Slag Cement,50,246,3875,953250
1/15/2027,Kano,MegaCem,Slag Cement,25,455,2825,1285375
1/16/2027,Kaduna,Dangote Ltd,PPC,50,773,2738,2116474
1/17/2027,Abuja,MegaCem,Slag Cement,50,365,3165,1155225
